Treatment,LightSetting,Individual,Sex,correct,wrong,total,proportioncorr
Hdoris380,a 1:15 (hard),5.10FY,female,11,1,12,0.916666667
Hdoris380,b 1:1 (equal),5.10FY,female,8,3,11,0.727272727
Hdoris380,c 15:1 (easy),5.10FY,female,7,0,7,1
Hdoris380,a 1:15 (hard),5.4FR,female,5,4,9,0.555555556
Hdoris380,b 1:1 (equal),5.4FR,female,6,5,11,0.545454545
Hdoris380,c 15:1 (easy),5.4FR,female,7,3,10,0.7
Hdoris380,a 1:15 (hard),5.5FY,female,5,7,12,0.416666667
Hdoris380,b 1:1 (equal),5.5FY,female,10,8,18,0.555555556
Hdoris380,c 15:1 (easy),5.5FY,female,10,0,10,1
Hdoris380,a 1:15 (hard),5.6FY,female,8,4,12,0.666666667
Hdoris380,b 1:1 (equal),5.6FY,female,11,7,18,0.611111111
Hdoris380,c 15:1 (easy),5.6FY,female,9,2,11,0.818181818
Hdoris380,a 1:15 (hard),5.7FR,female,12,3,15,0.8
Hdoris380,b 1:1 (equal),5.7FR,female,10,7,17,0.588235294
Hdoris380,c 15:1 (easy),5.7FR,female,6,3,9,0.666666667
Hdoris380,a 1:15 (hard),5.8FR,female,9,1,10,0.9
Hdoris380,b 1:1 (equal),5.8FR,female,9,3,12,0.75
Hdoris380,c 15:1 (easy),5.8FR,female,7,3,10,0.7
Hdoris380,a 1:15 (hard),5.9FY,female,8,6,14,0.571428571
Hdoris380,b 1:1 (equal),5.9FY,female,16,2,18,0.888888889
Hdoris380,c 15:1 (easy),5.9FY,female,9,2,11,0.818181818
Hdoris380,a 1:15 (hard),5.12MY,male,3,8,11,0.272727273
Hdoris380,b 1:1 (equal),5.12MY,male,9,3,12,0.75
Hdoris380,c 15:1 (easy),5.12MY,male,8,2,10,0.8
Hdoris380,a 1:15 (hard),5.1MY,male,10,2,12,0.833333333
Hdoris380,b 1:1 (equal),5.1MY,male,12,7,19,0.631578947
Hdoris380,c 15:1 (easy),5.1MY,male,8,2,10,0.8
Hdoris380,a 1:15 (hard),5.2MY,male,9,2,11,0.818181818
Hdoris380,b 1:1 (equal),5.2MY,male,7,3,10,0.7
Hdoris380,c 15:1 (easy),5.2MY,male,8,2,10,0.8
Hdoris380,a 1:15 (hard),7.1MR,male,6,4,10,0.6
